  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,Segregation Index
Edgewood Middle,Harford County,Middle,177,1089,368,480,123,31,0,0,79,40.5,0.49,27,3,7.8,21.60%,28.70%,2.6,2.7,23.4,18.8,14.4,48.4,30.3,3.6,2.9,31.9,25.9,19.8,65.5,28.4,11,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48%,75.20%,0,74.50%,96.60%,44,36,58.42%,0.0835
Fallston Middle School,Harford County,Middle,386,932,812,30,37,23,0,0,27,48.7,0.67,74,4,13.5,62.70%,63.90%,3.5,3.6,64,30,45.7,82.6,63,10.8,0,64.6,40,51.4,78.3,74.1,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.30%,0,91.50%,88.70%,46,37,8.15%,0.1760
Havre de Grace Middle,Harford County,Middle,679,557,355,99,42,0,0,0,49,41.7,0.57,50,3,10.8,43.60%,47%,3.1,3.2,49.4,36.1,26.8,0,29.8,14.9,0,52.9,38.1,31.7,0,34,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.20%,0,81.20%,99%,43,36,34.29%,0.0789
Magnolia Middle,Harford County,Middle,184,731,221,362,83,0,0,0,53,33.3,0.46,21,3,7.2,21%,23.20%,2.5,2.5,30.8,13.9,17.9,0,19.1,5,0,31.8,19.8,18.2,0,12.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.50%,0,75.90%,89.70%,43,26,62.53%,0.1084
North Harford Middle,Harford County,Middle,583,910,857,0,15,0,0,0,24,48.4,0.66,73,4,12.1,49.10%,57.30%,3.3,3.5,48.5,0,53.3,0,62.5,5.6,0,56.8,0,60,0,66.7,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.60%,0,86.90%,99.70%,46,45,16.81%,0.2065
Patterson Mill Middle School,Harford County,Middle,188,713,535,57,37,37,0,0,44,51,0.7,80,4,13.2,59%,62.90%,3.5,3.6,60.1,45.5,56.8,80,50,16.9,0,63,56.4,62.2,88.6,50,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.40%,0,91.40%,89.40%,55,42,13.81%,0.1291
Southampton Middle,Harford County,Middle,374,1228,977,76,62,62,0,0,48,46.2,0.63,65,4,11.9,52.90%,50.80%,3.4,3.3,54.4,27.4,39,75.8,44.9,10.2,10,51.3,28.8,37.3,80.6,49,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.20%,0,90.80%,99.50%,45,27.5,14.98%,0.1458
Aberdeen High,Harford County,High School,270,1468,576,550,134,78,0,0,123,53.2,0.59,44,3,18.3,47.10%,63.20%,3,3.6,57.7,29,36.8,86.4,45.8,19.4,0,72.3,49.5,61.1,95,56,35.5,0,80.22,75.32,83.7,75.68,0,88.24,41.46,0,82.69,78.67,85.82,78.38,0,88.24,42.5,0,47.10%,77.60%,72.50%,67.20%,73.80%,0,0,39.02%,0.0540
Bel Air High,Harford County,High School,373,1555,1193,107,75,108,0,0,70,70,0.78,86,5,21.1,65.60%,72.90%,3.3,3.8,67.4,39.1,61.5,75,60,26.9,0,75.1,56.5,66.7,83.3,50,29.6,0,93.91,94.16,0,0,0,0,0,0,94.67,94.82,0,0,0,0,0,0,76.90%,90.80%,95%,84.60%,78%,0,0,11.59%,0.1362
C. Milton Wright High,Harford County,High School,385,1460,1152,104,79,69,0,0,50,62.1,0.78,85,5,21.9,69.80%,73.90%,3.5,3.9,71.1,41.7,57.1,80,0,28.1,0,76.2,43.5,71.4,70,0,12.5,0,95.27,95.67,0,0,0,0,0,0,95.87,96.4,0,0,0,0,0,0,0,89.50%,89.60%,83.90%,74.30%,0,0,13.69%,0.1415
Edgewood High,Harford County,High School,176,1403,499,635,143,36,0,0,84,45.9,0.51,33,3,17,41.90%,56.10%,2.9,3.5,51.3,34.4,32,0,50,4.2,0,64.7,48.4,58.3,0,57.1,16.7,0,83.84,83.87,82.96,0,0,0,41.03,0,86.15,84.68,87.22,0,0,0,50,0,8.30%,62.70%,70%,70%,54.50%,0,0,52.42%,0.0807
Fallston High,Harford County,High School,382,1022,888,33,38,24,0,0,37,65,0.81,92,5,22.2,70.10%,76.90%,3.5,4,70.5,50,0,0,0,8.3,0,77.1,60,0,0,0,20.8,0,96.13,96.46,0,0,0,0,0,0,96.83,96.85,0,0,0,0,0,0,0,92.30%,92.70%,87.60%,77.10%,0,0,7.91%,0.1754
Harford Technical High,Harford County,High School,304,1010,665,168,77,43,0,0,48,76,0.84,95,5,22.3,64.90%,83.60%,3.4,4,66.7,55.6,0,80,50,7.1,0,80.1,86.1,0,90,100,21.4,0,92.86,96.2,100,0,0,0,0,0,93.7,96.84,100,0,0,0,0,0,73.30%,99.60%,87.50%,91.50%,99.60%,0,0,20.85%,0.0807
Havre de Grace High,Harford County,High School,678,630,368,145,46,0,0,0,58,51.5,0.64,59,4,19.3,49%,74.30%,3,3.7,52.5,37.9,50,0,45.5,18.2,0,84.7,55.2,58.3,0,45.5,31.8,0,93.33,95.45,0,0,0,0,0,0,94.17,95.45,0,0,0,0,0,0,0,84.50%,81.70%,64.90%,75%,0,0,34.51%,0.0560
Joppatowne High,Harford County,High School,181,723,224,369,65,0,0,0,49,43,0.54,36,3,16.2,32.30%,59.50%,2.8,3.4,38.1,25.7,0,0,0,0,0,66.7,53.6,0,0,0,0,0,75.63,70.91,78.38,0,0,0,0,0,77.16,76.36,79.73,0,0,0,0,0,0,72.10%,68.30%,62.60%,74.40%,0,0,63.89%,0.1101
North Harford High,Harford County,High School,580,1241,1135,20,26,18,0,0,37,61.3,0.77,83,5,21,60%,76%,3.3,3.9,60.5,0,0,0,0,11.5,0,76.3,0,0,0,0,19.2,0,91.13,91.32,0,0,0,0,0,0,92.15,92.45,0,0,0,0,0,0,0,94.60%,88.10%,81%,87.10%,0,0,14.55%,0.1939
Patterson Mill High School,Harford County,High School,187,840,636,64,51,61,0,0,26,64.5,0.81,91,5,22.3,65.20%,85.20%,3.2,4.1,67.3,38.9,63.6,90.9,60,36.4,0,84.1,77.8,90.9,100,90,58.3,0,95.81,96.32,0,0,0,0,0,0,96.74,96.32,0,0,0,0,0,0,0,90.70%,94.20%,85.70%,81.50%,0,0,11.53%,0.1308
Atholton Elementary,Howard County,Elementary,603,487,251,98,43,52,0,0,42,53.9,0.72,73,4,12.4,61.60%,51.70%,3.5,3.3,70.3,30.6,50,73.9,66.7,31.6,53.8,54.1,27.8,31.3,73.9,70.8,10.5,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,92%,100%,50,45,15.10%,0.0491
Bellows Spring Elementary,Howard County,Elementary,218,822,241,202,100,225,0,0,49,67.2,0.79,90,5,13.2,58.80%,63.80%,3.5,3.6,70,34.4,40.4,84.1,50,20,58,71,48.9,53.3,79.3,54.5,16.7,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.50%,99.10%,0,92.30%,100%,59,67,16.09%,0.1152
Bollman Bridge Elementary,Howard County,Elementary,620,722,183,274,138,75,0,0,50,57.7,0.68,61,4,8.9,34.50%,30.90%,2.9,2.8,61,21.1,17,48.5,42.9,0,17,41.6,22.7,18.9,38.2,61.9,3,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.60%,100%,0,90.60%,100%,56,57.5,45.79%,0.1061
Bryant Woods Elementary,Howard County,Elementary,510,421,87,226,47,16,0,0,40,57.3,0.67,60,4,10.5,44.40%,43%,3.1,3,71.4,36,55,0,22.7,11.1,53.3,64.3,32.7,50,0,36.4,16.7,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.70%,100%,0,79.20%,100%,63,50,63.10%,0.1445
Bushy Park Elementary,Howard County,Elementary,406,632,450,36,27,89,0,0,26,59.5,0.79,91,5,14.5,67.10%,72.70%,3.8,3.7,65.7,55.6,60,80.4,75,36.4,0,73,72.2,30,78.3,75,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,95.90%,100%,54,56,3.81%,0.1286
Centennial Lane Elementary,Howard County,Elementary,210,765,267,42,26,366,0,10,54,69.2,0.81,94,5,15.7,82.30%,74.70%,4,3.8,77.2,70,46.7,88.7,89.3,13.3,79.1,76.5,70,60,75.8,71.4,0,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.80%,100%,0,95.30%,100%,60,48,5.08%,0.1945
Clarksville Elementary,Howard County,Elementary,505,432,121,37,13,243,0,0,16,75.3,0.89,99,5,16.9,89.30%,83%,4.3,4,87.3,68.4,0,94.4,80,47.4,89.5,78.9,73.7,0,88.9,60,31.6,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.50%,100%,0,96.80%,100%,74,60,2.30%,0.2241
Clemens Crossing Elementary,Howard County,Elementary,520,550,275,80,51,87,0,0,55,63.4,0.75,82,4,13.5,60.80%,65.50%,3.6,3.6,64.5,44.7,44.8,81.1,56.7,0,0,67.8,50,51.7,75.7,76.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,98.80%,0,95.30%,100%,37.5,46,8.86%,0.0759
Cradlerock Elementary,Howard County,Elementary,616,519,98,256,75,38,0,0,50,46.8,0.55,26,3,8.1,24.90%,32.20%,2.6,2.7,58.5,16,6.3,43.8,26.1,13.9,4.8,53.7,25,18.8,43.8,43.5,5.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.10%,98.60%,0,78.80%,100%,32,44,52.56%,0.1415
Dayton Oaks,Howard County,Elementary,528,683,391,61,34,160,0,0,34,69.2,0.81,94,5,15.1,77.20%,71%,3.9,3.8,76.8,56,43.8,93.6,75,17.6,0,70.7,44,25,88.5,81.3,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.70%,100%,0,93.80%,100%,59,55.5,4.89%,0.1097
Deep Run Elementary,Howard County,Elementary,103,837,207,123,328,133,0,0,43,54.5,0.64,49,4,9.2,36.40%,32.60%,3,2.8,48.4,27.6,17.6,77.4,33.3,3.1,12.3,42.1,31,15.7,64.2,33.3,6.3,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.50%,100%,0,90.40%,100%,43,41,53.39%,0.1624
Ducketts Lane,Howard County,Elementary,109,891,192,345,149,160,0,0,40,56.9,0.67,59,4,10.3,40.90%,42.60%,3,3,47.3,36.2,14.9,69.2,43.5,17.9,24.6,40.9,42.5,23.9,60,56.5,7.7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72%,99.20%,0,89.70%,100%,51,40,37.28%,0.1236
Elkridge Elementary,Howard County,Elementary,101,919,403,246,75,139,0,0,51,56.4,0.66,56,4,10.7,44.40%,45%,3.1,3.1,48.6,28.7,39.3,54.5,60,8.5,26.5,48.9,33.3,35.7,60,43.3,4.3,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.40%,98.40%,0,87%,100%,52,39,27.68%,0.0455
Forest Ridge Elementary,Howard County,Elementary,622,693,151,216,95,175,0,0,52,63.1,0.74,81,4,11.6,50.80%,50%,3.3,3.2,67.9,44.4,25.5,58.2,50,17.9,11.9,61.7,50.4,23.5,50.6,57.7,10.7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.20%,100%,0,92%,100%,62,55,31.41%,0.1310
Fulton Elementary,Howard County,Elementary,525,878,392,114,30,265,0,0,75,72.7,0.86,98,5,14.8,73.60%,71.70%,3.8,3.7,73.4,53.2,73.3,84.3,72.5,35.7,56,73.4,54.8,53.3,81,67.5,19,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.40%,100%,0,96%,100%,67,64,4.44%,0.1188
Gorman Crossing Elementary,Howard County,Elementary,625,848,177,269,111,227,0,0,62,61.9,0.73,76,4,12.5,57.70%,54.80%,3.5,3.3,56.8,51.6,43.4,76.5,46.4,4.2,39.4,52.7,50.8,45.3,68.6,46.4,8.3,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.40%,99.10%,0,93.40%,100%,48,53,19.88%,0.1367
Guilford Elementary,Howard County,Elementary,602,450,71,225,61,70,0,0,22,56.5,0.66,57,4,9.4,35.80%,36.80%,2.9,2.9,64.3,27.3,33.3,52,0,0,33.3,57.1,25.6,47.6,60,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.40%,100%,0,87.30%,100%,42,48,47.22%,0.1541
Hammond Elementary,Howard County,Elementary,606,651,244,194,71,89,0,0,50,60.2,0.71,69,4,12.2,57.80%,51.80%,3.5,3.2,69.2,40.6,38.7,71.7,66.7,29.6,40,61.5,32.7,45.2,67.4,58.3,25.9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.70%,100%,0,91.60%,100%,42,57,24.85%,0.0589
Hollifield Station Elementary,Howard County,Elementary,217,856,222,114,110,382,0,0,22,60.2,0.71,70,4,11.9,54.10%,52.20%,3.3,3.3,58.1,32.8,15,68.2,0,21.4,31.6,56.6,34.4,20.5,64.2,0,14.3,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.40%,98.20%,0,89.40%,100%,54,46,23.49%,0.1835
Ilchester Elementary,Howard County,Elementary,107,654,367,54,13,178,0,0,39,59.9,0.8,92,5,15.4,74.50%,78.90%,3.9,3.8,76.2,53.3,0,83.3,65,21.7,38.5,79.5,79.3,0,81.1,70,30.4,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,97.60%,100%,52,54,4.26%,0.1222
Jeffers Hill Elementary,Howard County,Elementary,613,428,94,163,71,59,0,0,40,58.8,0.69,64,4,10.2,34.90%,46.70%,2.9,3.2,53.8,16.7,17.1,70.4,36.4,0,16,50,41.6,28.6,81.5,40.9,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.90%,100%,0,88.20%,100%,46,68,30.40%,0.1193
Laurel Woods Elementary,Howard County,Elementary,618,611,46,318,145,58,0,0,40,56.2,0.66,55,4,9.8,38.20%,38.20%,3,3,50,36.7,33.3,55.6,40.9,12.5,25.5,41.7,38.7,31.9,50,45.5,6.3,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.90%,98.90%,0,87.20%,100%,46,43.5,58.60%,0.1887
Lisbon Elementary,Howard County,Elementary,407,455,358,17,38,15,0,0,27,66.9,0.79,90,5,13.4,55.60%,68.70%,3.5,3.7,57.3,27.3,38.1,70,71.4,33.3,0,71.4,45.5,52.4,70,73.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.60%,100%,0,95%,100%,47,65,12.06%,0.1492
Longfellow Elementary,Howard County,Elementary,514,441,100,158,100,33,0,0,46,53.2,0.63,44,4,10.6,45.10%,42.90%,3.2,3,76.6,24.7,24.4,64.3,63,22.2,12,68.1,23.3,28.6,71.4,55.6,22.2,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.40%,98.60%,0,83.90%,100%,47,38,48.55%,0.1199
Manor Woods Elementary,Howard County,Elementary,305,794,277,57,29,400,0,0,28,68.6,0.81,93,5,14.5,73.90%,68.70%,3.8,3.6,67.5,25.7,46.2,88.4,75,25.8,53.8,63.2,22.9,41.7,81.2,81.3,25.8,42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76%,98.60%,0,95.70%,100%,63,55.5,6.75%,0.1986
Northfield Elementary,Howard County,Elementary,208,748,355,68,49,210,0,0,62,60.5,0.71,71,4,13.2,62.20%,60.30%,3.6,3.5,58.8,30.2,61.5,79.6,66.7,15.6,58.6,60.4,39.5,46.2,72.1,58.3,19.4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.30%,99.30%,0,95.10%,100%,50,32,8.17%,0.1187
Phelps Luck Elementary,Howard County,Elementary,612,583,86,235,176,36,0,0,49,57.4,0.68,60,4,9.2,34.30%,36.30%,2.8,2.9,73,24.8,15.6,58.8,62.5,15.2,10.1,67.6,30.1,19.7,41.2,66.7,12.1,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.90%,100%,0,91.90%,100%,41.5,56,61.82%,0.1599
Pointers Run Elementary,Howard County,Elementary,523,768,386,84,23,242,0,0,33,71.4,0.84,97,5,15.1,78.80%,69.30%,4,3.7,77.1,58.8,0,87.1,85.7,33.3,76.9,70.8,55.9,0,71.2,71.4,33.3,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.70%,97.50%,0,95.80%,100%,69,64,5.31%,0.1237
Rockburn Elementary,Howard County,Elementary,105,735,324,162,55,134,0,0,56,64.8,0.76,85,5,13.5,62.70%,62.50%,3.7,3.5,68.4,45.8,28.6,81.1,56.5,9.1,43.8,66.4,49.2,38.1,76.9,60.9,13.6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.90%,100%,0,94.30%,100%,52,48,13.98%,0.0637
Running Brook Elementary,Howard County,Elementary,515,497,88,289,58,26,0,0,33,55.4,0.65,53,4,9,31.70%,34.10%,2.8,2.9,60,19.2,37.5,0,50,0,14.3,63.9,21.7,33.3,0,50,4,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75%,98.50%,0,82.10%,100%,50,53.5,50.40%,0.1620
St. Johns Lane Elementary,Howard County,Elementary,204,703,311,92,32,241,0,0,26,61.4,0.72,74,4,13.6,65.50%,63.10%,3.6,3.5,65.9,44.4,25,78,0,0,36.1,70,40,18.8,68.1,0,0,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.80%,99.10%,0,93.10%,100%,46,44,8.31%,0.1283
Stevens Forest Elementary,Howard County,Elementary,608,415,63,147,135,26,0,0,42,58.7,0.69,64,4,9.5,34.30%,37.60%,3,2.9,68.2,26.1,21.7,60,50,3.4,18.6,68.2,34.8,25,30,55,6.9,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.20%,100%,0,86.30%,100%,59,55.5,57.79%,0.1608
Swansfield Elementary,Howard County,Elementary,517,634,95,343,119,33,0,0,43,49.6,0.58,32,3,8.2,30.50%,28.10%,2.6,2.6,64.2,19.3,11.8,62.5,38.5,25,13,56.6,19.9,5.9,43.8,42.3,11.1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.50%,100%,0,78.30%,100%,44.5,36,59.37%,0.1642
Talbott Springs Elementary,Howard County,Elementary,609,491,113,187,121,24,0,0,46,60.7,0.71,72,4,11.6,47.80%,52.90%,3.3,3.3,60.8,37.2,33.3,100,55.6,12.5,21.9,72.5,35.4,47.9,92.9,55.6,8,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.10%,100%,0,86.60%,100%,50,59,48.49%,0.1228
Thunder Hill Elementary,Howard County,Elementary,605,544,212,134,46,107,0,0,40,65.9,0.78,87,5,12.9,60.80%,58.10%,3.6,3.4,73.7,39.4,39.1,73.2,65.4,21.7,52.9,63.6,44.3,47.8,62.5,76.9,21.7,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95%,98.90%,0,92.30%,100%,61,47,17.38%,0.0721
Triadelphia Ridge Elementary,Howard County,Elementary,306,553,268,35,37,165,0,0,45,68.8,0.81,93,5,15.1,78.20%,71.30%,4,3.7,73.4,52.6,68.4,91.2,77.3,32.3,0,67.1,63.2,57.9,80.5,72.7,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.90%,100%,0,96%,100%,68,47,2.71%,0.1301
Veterans Elementary,Howard County,Elementary,219,930,248,118,57,475,0,0,24,64.2,0.76,83,5,12.6,59.10%,55.20%,3.5,3.4,62.9,13.8,16.7,76.9,50,20,39.3,61.2,24.1,35,62.4,66.7,8.6,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.90%,100%,0,91.50%,100%,47.5,59.5,20.09%,0.2031
Waterloo Elementary,Howard County,Elementary,604,635,216,198,36,130,0,0,49,62.6,0.74,79,4,12.9,59.50%,61.70%,3.4,3.4,70.8,31.5,46.2,94.3,47.4,8.7,60,75,34.8,46.2,88.7,57.9,8.7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.90%,100%,0,89.20%,100%,54,56,27.67%,0.0851
Waverly Elementary,Howard County,Elementary,215,770,350,53,18,317,0,0,31,71.8,0.84,97,5,15.8,78.50%,78.20%,4,3.9,75.9,82.6,0,84,66.7,29.2,73.3,75.9,69.6,0,84.7,75,25,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90%,100%,0,96.40%,100%,59,58.5,4.39%,0.1629
West Friendship Elementary,Howard County,Elementary,302,327,206,14,13,73,0,0,20,71.3,0.84,97,5,15.2,73.40%,76.80%,3.8,3.8,71.8,0,50,90.5,60,11.8,60,71.8,0,60,92.9,90,23.5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.90%,100%,0,94.20%,100%,54,70,4.82%,0.1288
Worthington Elementary,Howard County,Elementary,213,515,247,38,21,183,0,0,25,65.6,0.77,87,5,13.8,67.30%,63.30%,3.7,3.6,66.7,48.3,35.3,82.3,55,20,0,62.1,48.3,41.2,74,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.30%,100%,0,97.70%,100%,48,52,2.91%,0.1432
Bonnie Branch Middle,Howard County,Middle,108,716,287,173,100,108,0,0,45,57.2,0.69,79,4,12,54.60%,52%,3.3,3.3,67.6,26.3,28.7,83.2,65.1,10.9,12.8,63.4,29.9,25.8,75.5,62.8,7.3,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.80%,91.80%,0,92%,100%,58,48,25.76%,0.0596
Burleigh Manor Middle School,Howard County,Middle,216,807,265,87,28,375,0,0,49,69.9,0.84,98,5,15.6,74.10%,79.40%,3.9,4,72.5,36.5,51.9,86.6,65.3,18.8,58.3,80.2,57.6,63,87.2,63.3,15.6,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.50%,96.30%,0,94.40%,86.30%,69,68,8.77%,0.1835
Clarksville Middle,Howard County,Middle,521,552,253,32,21,217,0,0,29,60.6,0.83,97,5,16.8,84.50%,85.40%,4.2,4.1,80.2,65.6,80,93.5,79.3,53.6,0,83.3,59.4,75,91.6,93.1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.10%,0,95.20%,90.30%,66,56,1.81%,0.1588
Dunloggin Middle,Howard County,Middle,211,630,243,102,47,214,0,0,24,60.4,0.73,87,4,13.5,60.90%,65.70%,3.6,3.6,67.6,37.1,36.4,69.7,60.9,14,36.4,75.1,46.4,46.3,68.3,60.9,11.4,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.30%,98.90%,0,93.90%,96.20%,58,49,18.20%,0.1260
Elkridge Landing Middle,Howard County,Middle,106,693,351,155,41,104,0,0,40,52.7,0.72,85,4,12,47.50%,58.30%,3.2,3.5,53.2,25.9,43.6,61.5,45,14.3,45.5,62.8,36.4,64.1,72.8,52.5,11.1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.60%,0,92.40%,88.20%,57,54,16.50%,0.0494
Ellicott Mills Middle,Howard County,Middle,202,853,374,114,47,277,0,0,37,56.9,0.78,94,5,14.3,70%,67.70%,3.7,3.7,71.9,40.2,42.2,85,58.3,12,0,67.5,44.4,57.8,79.2,61.1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.70%,0,93.40%,99%,61,51,10.21%,0.1220
Folly Quarter Middle,Howard County,Middle,307,663,389,37,18,179,0,0,38,61.4,0.84,98,5,15.6,79.60%,74.60%,4,3.9,76.6,70.3,77.8,87.3,86.8,34.4,0,69.6,73,88.9,83.8,76.3,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.90%,0,93.60%,98.70%,71,60,1.96%,0.1302
Glenwood Middle,Howard County,Middle,405,495,380,27,34,33,0,0,19,54,0.74,89,4,13.6,66.80%,59.70%,3.7,3.6,67.4,53.8,50,90.6,68.4,28.9,0,60.7,46.2,40.6,83.9,52.6,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.90%,0,93%,94.70%,64,41,6.67%,0.1389
Hammond Middle School,Howard County,Middle,607,554,253,145,42,64,0,0,47,55.4,0.76,91,5,13.2,55.60%,66.70%,3.4,3.7,67.7,27.7,43.6,79,53.3,25,0,75.7,44.7,56.4,80.6,75.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.90%,0,89.50%,97.40%,63,58,18.13%,0.0394
Harpers Choice Middle,Howard County,Middle,518,591,123,287,86,51,0,0,43,47.3,0.57,50,3,9.2,35.90%,35.10%,2.8,2.9,66.4,21.3,13.8,61.2,53.7,5.4,6.5,60.5,20.8,23.8,58,46.3,5.4,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.50%,86.70%,0,80.30%,96.70%,48.5,47,45.41%,0.1328
Lake Elkhorn Middle,Howard County,Middle,617,547,84,287,91,47,0,0,38,50.4,0.61,60,4,9,29.40%,37.10%,2.8,2.9,58.4,17.2,26.4,50,41.2,12.7,19.2,58.4,28.1,29.9,58.7,50,9.9,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.30%,74.80%,0,79.70%,87.40%,55,56,48.09%,0.1585
Lime Kiln Middle,Howard County,Middle,526,734,361,84,40,195,0,0,52,60.3,0.83,97,5,15.1,71.30%,76.50%,3.7,4,71.9,42.2,41,86,82.7,28.9,0,77.4,48.2,64.1,87.6,84.6,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.70%,0,92.70%,97.30%,62,67,4.22%,0.1081
Mayfield Woods Middle,Howard County,Middle,104,712,226,206,140,91,0,0,48,54.8,0.66,72,4,10.7,43%,45%,3.1,3.2,57.9,26.4,26.5,71.8,40.5,13.2,0,57.9,30.5,29.6,74.1,38.1,10.3,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.10%,95.10%,0,85.40%,99.10%,58,50,35.89%,0.0840
Mount View Middle,Howard County,Middle,304,819,427,48,23,277,0,0,42,62.2,0.85,99,5,15.3,77.20%,72.90%,4,3.9,73.1,58.3,56.5,88.4,76.2,28.2,0,68.4,64.6,47.8,82.7,76.2,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.80%,0,95.10%,99.30%,76,56,3.06%,0.1428
