  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,Segregation Index
Kingsville Elementary,Baltimore County,Elementary,1104,341,308,0,11,11,0,0,0,62.5,0.83,96,5,14.4,72.80%,66.70%,3.8,3.6,72.8,0,0,0,0,31.3,0,67.3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.30%,0,93.70%,100%,73,60,8.41%,0.1932
Lansdowne Elementary,Baltimore County,Elementary,1311,513,225,119,90,29,0,0,42,53,0.62,43,4,7.5,19.30%,26.30%,2.6,2.7,26.5,3.7,16.2,27.3,30,12.9,8.3,33.3,7.4,21.6,36.4,40,9.7,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.80%,100%,0,84.70%,100%,47,43,69.41%,0.0513
Logan Elementary,Baltimore County,Elementary,1217,617,263,213,67,0,0,0,60,52.9,0.62,43,4,8.2,26.50%,31.80%,2.6,2.6,30.2,17,36.4,0,31.8,11.8,18.2,34.5,22.5,43.8,0,40.9,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.20%,98.90%,0,77%,100%,46.5,65,70.69%,0.0489
Lutherville Laboratory,Baltimore County,Elementary,803,397,219,61,29,63,0,0,24,71.2,0.84,96,5,14.7,69.50%,70.90%,3.8,3.8,73.4,38.5,46.2,90.3,72.7,46.7,0,75,57.7,61.5,80.6,45.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.70%,100%,0,93.70%,100%,56,69,17.12%,0.0724
Lyons Mill Elementary,Baltimore County,Elementary,410,764,37,568,19,101,0,0,32,61,0.72,73,4,10.4,35.30%,47.80%,3,3.2,26.7,32.2,0,82.6,0,4.2,33.3,40,46.1,0,73.9,0,8.3,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.60%,99.10%,0,86.40%,99.10%,51,57.5,33.98%,0.2414
Mars Estates Elementary,Baltimore County,Elementary,1512,434,95,243,50,14,0,0,31,50.4,0.59,34,3,7.5,25.30%,24.30%,2.5,2.5,28.6,23.2,16.7,0,38.5,18.2,0,27.6,19.6,33.3,0,30.8,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.60%,92%,0,82.40%,100%,51,43,69.20%,0.1454
Martin Boulevard Elementary,Baltimore County,Elementary,1506,326,112,119,53,0,0,0,37,49.6,0.58,32,3,6.8,17.60%,18.30%,2.6,2.4,21.6,16.3,11.1,0,15.8,9.4,23.5,17.6,22.4,16.7,0,15.8,9.4,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.40%,89.10%,0,87%,90.90%,49,34,76.44%,0.0796
Mays Chapel Elementary,Baltimore County,Elementary,814,750,353,117,108,129,0,0,41,65.7,0.77,87,5,13.3,61.70%,63.60%,3.5,3.5,74.6,29.3,25.5,84.9,68.8,13.9,22.9,74,44.8,31.9,78.8,62.5,19.4,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.80%,96.50%,0,91.70%,100%,54,65,23.24%,0.0736
McCormick Elementary,Baltimore County,Elementary,1403,367,18,313,15,0,0,0,14,44.5,0.59,34,3,7.2,25%,20.30%,2.5,2.4,0,22.9,0,0,0,7.1,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.50%,0,82.70%,98.20%,62.5,36,68.92%,0.2705
Middleborough Elementary,Baltimore County,Elementary,1520,370,254,81,11,0,0,0,16,46.2,0.62,41,4,8.7,31.60%,29.50%,2.9,2.8,35.6,17.1,0,0,20,12,0,32.6,20,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.80%,0,86.10%,98.60%,53.5,37.5,42.16%,0.0856
Middlesex Elementary,Baltimore County,Elementary,1514,509,169,198,92,0,0,0,41,43.5,0.51,19,3,6.1,15.50%,14.60%,2.3,2.3,13.7,17,13.2,0,11.1,3.6,0,15.1,9.2,15.8,0,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,98.50%,0,78.70%,100%,37,38,67.12%,0.0840
Milbrook Elementary,Baltimore County,Elementary,307,422,16,270,75,35,0,0,23,50,0.59,33,3,7.1,24.50%,21.30%,2.4,2.4,27.3,21.8,22.7,44.4,27.8,6.5,15.2,30,22.7,16.3,29.4,11.1,3.2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.20%,94.70%,0,79.60%,100%,48,48,63.55%,0.2184
New Town Elementary,Baltimore County,Elementary,217,842,65,661,20,51,0,0,44,58.8,0.69,64,4,10.4,42.20%,43.10%,3.1,3.1,72.7,38.4,0,75,38.9,8.3,27.3,72.7,39.8,0,61.9,50,2.8,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.50%,83.80%,0,88.10%,100%,59,55,34.36%,0.2440
Oakleigh Elementary,Baltimore County,Elementary,910,676,175,362,53,45,0,0,39,49.7,0.58,33,3,7.4,22.10%,25.50%,2.5,2.5,31.9,13.7,25,42.9,20,5.4,11.5,36.7,17.3,16.7,46.4,25,1.8,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.30%,94.60%,0,74.70%,95.50%,57,45,61.39%,0.1273
Oliver Beach Elementary,Baltimore County,Elementary,1534,204,184,0,0,0,0,0,14,49.8,0.66,56,4,9.8,40.20%,34.50%,3.1,2.9,39.2,0,0,0,0,5.9,0,34.2,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,92.50%,100%,54,34,20.10%,0.1964
